Wavelength,Intensity,Wavelength,Intensity,Wavelength,Intensity
768.21535,3.29E-04,778.42072,0.00237,768.21535,-0.00812
768.25568,3.74E-04,778.42937,0.00206,768.25568,-0.01521
768.29601,1.57E-04,778.43802,0.00219,768.29601,0.00602
768.33634,2.79E-04,778.44666,0.00209,768.33634,0.0133
768.37667,4.90E-04,778.45531,0.00196,768.37667,0.02126
768.417,4.86E-04,778.46395,0.00242,768.417,0.0057
768.45733,3.32E-04,778.47259,0.00293,768.45733,-0.00373
768.49766,3.30E-04,778.48124,0.0026,768.49766,-0.02743
768.53799,1.62E-04,778.48988,0.00242,768.53799,0.00281
768.57832,3.84E-04,778.49852,0.00242,768.57832,0.0203
768.61864,3.73E-04,778.50717,0.00199,768.61864,-0.00767
768.65897,4.81E-04,778.51581,0.00156,768.65897,-0.00768
768.6993,6.15E-04,778.52445,0.00209,768.6993,-0.01906
768.73962,5.85E-04,778.5331,0.00131,768.73962,0.0114
768.77995,4.07E-04,778.54174,0.00224,768.77995,-7.32E-04
768.82028,3.67E-04,778.55038,0.00201,768.82028,0.01951
768.8606,3.66E-04,778.55902,0.00171,768.8606,0.0097
768.90093,5.64E-04,778.56766,0.00268,768.90093,-0.00311
768.94125,5.59E-04,778.5763,0.00309,768.94125,-0.00967
768.98158,4.17E-04,778.58494,0.00209,768.98158,0.0072
769.0219,4.41E-04,778.59358,0.00201,769.0219,-0.0291
769.06222,5.19E-04,778.60222,0.00234,769.06222,-0.02509
769.10255,5.61E-04,778.61086,0.00183,769.10255,-0.0129
769.14287,5.79E-04,778.6195,0.00144,769.14287,0.00453
769.18319,4.02E-04,778.62814,0.0023,769.18319,-0.01151
769.22352,5.37E-04,778.63678,0.00387,769.22352,4.17E-04
769.26384,5.93E-04,778.64542,0.0028,769.26384,-9.27E-04
769.30416,4.17E-04,778.65405,0.0021,769.30416,-0.00934
769.34448,3.03E-04,778.66269,0.00212,769.34448,-0.03281
769.3848,3.55E-04,778.67133,0.00173,769.3848,-0.01448
769.42512,4.37E-04,778.67997,0.00216,769.42512,0.00111
769.46544,4.47E-04,778.6886,0.00241,769.46544,0.00336
769.50576,6.39E-04,778.69724,0.00368,769.50576,-0.02365
769.54608,5.65E-04,778.70588,0.00283,769.54608,-0.01378
769.5864,5.29E-04,778.71451,0.00298,769.5864,-0.02977
769.62672,5.14E-04,778.72315,0.00269,769.62672,-0.03712
769.66704,6.28E-04,778.73178,0.00299,769.66704,-0.02221
769.70735,5.94E-04,778.74042,0.0029,769.70735,-0.00986
769.74767,5.33E-04,778.74905,0.00234,769.74767,-0.00596
769.78799,5.29E-04,778.75769,0.00203,769.78799,-0.00274
769.8283,6.14E-04,778.76632,0.00338,769.8283,-0.03596
769.86862,7.74E-04,778.77495,0.0038,769.86862,-0.01971
769.90894,8.19E-04,778.78359,0.00365,769.90894,0.00423
769.94925,6.63E-04,778.79222,0.00116,769.94925,-0.01535
769.98957,7.55E-04,778.80085,8.81E-04,769.98957,-0.0083
770.02988,9.07E-04,778.80949,0.00179,770.02988,-0.01431
770.07019,0.0011,778.81812,0.0027,770.07019,-0.00312
770.11051,0.00107,778.82675,0.00259,770.11051,-4.01E-04
770.15082,8.41E-04,778.83538,0.00283,770.15082,0.01038
770.19114,7.17E-04,778.84401,0.00218,770.19114,-0.00582
770.23145,9.13E-04,778.85265,0.00211,770.23145,-0.00157
770.27176,7.94E-04,778.86128,0.00313,770.27176,0.01135
770.31207,6.93E-04,778.86991,0.00336,770.31207,0.00183
770.35238,8.33E-04,778.87854,0.00252,770.35238,-0.01124
770.3927,9.56E-04,778.88717,0.00123,770.3927,0.01288
770.43301,7.54E-04,778.8958,0.00161,770.43301,-0.00345
770.47332,8.40E-04,778.90443,0.00141,770.47332,0.01246
770.51363,9.62E-04,778.91305,0.00188,770.51363,0.00212
770.55394,8.78E-04,778.92168,0.00216,770.55394,0.00947
770.59425,7.58E-04,778.93031,0.0024,770.59425,0.01066
770.63455,6.65E-04,778.93894,0.00257,770.63455,-0.00544
770.67486,7.20E-04,778.94757,0.00211,770.67486,-0.00511
770.71517,8.47E-04,778.9562,0.00283,770.71517,-0.00607
770.75548,0.001,778.96482,0.0029,770.75548,-0.00835
770.79579,0.00107,778.97345,0.00207,770.79579,-0.00685
770.83609,9.46E-04,778.98208,0.00181,770.83609,0.00518
770.8764,0.00108,778.9907,0.00244,770.8764,-0.004
770.91671,0.00102,778.99933,0.00203,770.91671,-0.02805
770.95701,0.0011,779.00795,0.00197,770.95701,0.00907
770.99732,0.00117,779.01658,0.0038,770.99732,-0.00901
771.03762,9.29E-04,779.0252,0.00309,771.03762,0.01051
771.07793,0.00104,779.03383,0.00234,771.07793,0.01252
771.11823,8.89E-04,779.04245,0.00251,771.11823,-0.0035
771.15854,9.05E-04,779.05108,0.00198,771.15854,-0.01953
771.19884,9.00E-04,779.0597,0.0024,771.19884,-0.01832
771.23914,0.0011,779.06833,0.00228,771.23914,0.0092
771.27945,0.00128,779.07695,0.00218,771.27945,-0.01432
771.31975,0.00114,779.08557,0.00248,771.31975,-0.01035
771.36005,0.00105,779.0942,0.00244,771.36005,-0.01331
771.40035,0.00105,779.10282,0.0032,771.40035,-0.0084
771.44065,0.00118,779.11144,0.00269,771.44065,0.00781
